Title,ID,System,Link cable players,Compatibility rating,Compatibility notes
Monopoly,DMG-LY-USA,DMG,4,Unsupported,
Monster Rancher Battle Card GB,DMG-A6TE-USA,DMG/CGB,2,Unsupported,
Mortal Kombat,DMG-C9-USA,DMG,2,Unsupported,
Mortal Kombat II,DMG-AMKE-USA,DMG,2,Unsupported,
Motocross Maniacs,DMG-MX-USA,DMG,2,Unsupported,
Nail 'n Scale,DMG-DR-USA,DMG,2,Unsupported,
NBA 3 on 3 Featuring Kobe Bryant,DMG-ACVE-USA,DMG/CGB,2,Unsupported,
NBA All-Star Challenge,DMG-AC-USA,DMG,2,Unsupported,
NBA All-Star Challenge 2,DMG-H2-USA,DMG,2,Unsupported,
NFL Football,DMG-FT-USA,DMG,2,Unsupported,
Ninja Boy 2,DMG-CH-USA,DMG,2,Unsupported,
Nintendo World Cup,DMG-NC-USA,DMG,2,Unsupported,
Pac-Man,DMG-PC-USA,DMG,2,Unsupported,
Penguin Wars,DMG-PW-USA,DMG,10,Unsupported,
Pipe Dream,DMG-PD-USA,DMG,2,Unsupported,
Play Action Football,DMG-FL-USA,DMG,2,Unsupported,
Pokémon: Blue Version,DMG-APEE-USA,DMG,2,Unsupported,
Pokémon: Crystal Version,CGB-BYTE-USA,CGB,2,Unsupported,
Pokémon: Gold Version,CGB-AAUE-USA,DMG/CGB,2,Unsupported,
Pokémon Puzzle Challenge,CGB-BPNE-USA,CGB,2,Unsupported,
Pokémon: Red Version,DMG-APAE-USA,DMG,2,Unsupported,
Pokémon: Silver Version,CGB-AAXE-USA,DMG/CGB,2,Unsupported,
Pokémon Trading Card Game,DMG-AXQE-USA,DMG/CGB,2,Unsupported,
Pokémon: Yellow Version: Special Pikachu Edition,DMG-APSE-USA,DMG,2,Unsupported,
Popeye 2,DMG-PG-USA,DMG,2,Unsupported,
Power Quest,DMG-APQE-USA,DMG/CGB,2,Unsupported,
Power Racer,DMG-PQ-USA,DMG,2,Unsupported,
Q Billion,DMG-QB-USA,DMG,2,Unsupported,
Qix,DMG-QX-USA,DMG,2,Unsupported,
Quarth,DMG-QR-USA,DMG,2,Unsupported,
Revelations: The Demon Slayer,DMG-ALBE-USA,DMG/CGB,2,Unsupported,
Revenge of the 'Gator,DMG-PB-USA,DMG,2,Unsupported,
Road Rash,CGB-BRRE-USA,CGB,2,Unsupported,
Roger Clemens' MVP Baseball,DMG-VM-USA,DMG,2,Unsupported,
Rolan's Curse,DMG-VE-USA,DMG,2,Unsupported,
Snoopy Tennis,CGB-BS9E-USA,CGB,2,Unsupported,
Snoopy's Magic Show,DMG-SN-USA,DMG,2,Unsupported,
Soccer Mania,DMG-SB-USA,DMG,2,Unsupported,
Stargate,DMG-AGTE-USA,DMG,2,Unsupported,
Street Racer,DMG-ASRE-USA,DMG,2,Unsupported,
Super Mario Bros. Deluxe,CGB-AHYE-USA,CGB,2,Unsupported,
Super R.C. Pro-Am,DMG-RC-USA,DMG,4,Unsupported,
Tecmo Bowl,DMG-TL-USA,DMG,2,Unsupported,
Tennis,DMG-TN-USA,DMG,2,Unsupported,
Test Drive 2001,CGB-BTEE-USA,CGB,2,Unsupported,
Tetris,DMG-TR-USA,DMG,2,Playable,Music selection is hard-coded to A-type
Tetris 2,DMG-EH-USA,DMG,2,Unsupported,
Tetris Attack,DMG-AYLE-USA,DMG,2,Unsupported,
Tetris Blast,DMG-ASBE-USA,DMG,2,Unsupported,
Tetris DX,DMG-ATEA-USA,DMG/CGB,2,Unsupported,
Tetris Plus,DMG-ATRE-USA,DMG,2,Unsupported,
The Legend of Zelda: Oracle of Ages,CGB-AZBE-USA,CGB,2,Unsupported,
The Legend of Zelda: Oracle of Seasons,CGB-AZ7E-USA,CGB,2,Unsupported,
Titus the Fox,DMG-FO-USA,DMG,2,Unsupported,
Tony Hawk’s Pro Skater,CGB-BTFE-USA,CGB,2,Unsupported,
Tony Hawk’s Pro Skater 2,CGB-BTGE-USA,CGB,2,Unsupported,
