Master,Slave,Notes
30,56,This byte and the next 4 signal the end of pieces / start of game
00,30,
02,00,
02,44,
20,44,
04,44,Master has 4 lines
04,44,
04,02,Slave has 2 lines
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
94,02,Master pauses
94,02,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
94,00,
04,00,
04,00,
04,FF,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,02,
04,03,Slave stacks 1 more line
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,03,
04,04,Slave stacks 1 more line
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,05,Slave stacks 1 more line
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,04,Slave clears 1 line
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,05,Slave stacks 1 more line
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,04,Slave clears 1 line
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,04,
04,06,Slave stacks 2 more lines
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,06,
04,05,Slave clears 1 line
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
04,05,
06,05,Master stacks 2 more lines
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,05,
06,09,Slave stacks 4 more lines
06,09,
06,09,
06,09,
06,09,
06,0B,Slave stacks 2 more lines
06,0B,
06,0B,
06,0B,
06,0B,
06,0B,
06,0B,
06,0B,
06,0B,
06,0B,
06,0D,Slave stacks 2 more lines
06,0D,
06,0D,
06,0D,
06,0E,Slave stacks 1 more line
06,0E,
06,10,Slave stacks 2 more lines
06,10,
06,10,
06,11,Slave stacks 1 more line
06,11,
06,11,
06,11,
06,11,
06,11,
06,11,
06,11,
06,AA,Slave loses
06,FF,Slave screen fills
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,FF,
02,34,
43,34,Master triggers end screen with Mario and Luigi
60,34,Master presses start to start a new round
02,34,This byte and the next 3 signal the end of pieces / start of game
02,34,
02,27,
79,27,
